data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,38,11,1,10,3,3,1806.61,131.9,1822.9,131.9,165.71818181818185,131.9,0.066,0.005,0.276,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,38,1,3,-2,1,2,170.9,524.81,170.9,541.7,170.9,180.5666666666667,0.024,0.028,0.333,0.304
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,37,1,3,-2,1,2,170.9,524.81,170.9,541.7,170.9,180.5666666666667,0.024,0.028,0.333,0.304
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,37,12,1,11,3,3,1941.51,131.9,1971.8,131.9,164.3166666666667,131.9,0.072,0.005,0.27,0.251
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,36,12,1,11,3,3,1941.51,131.9,1971.8,131.9,164.3166666666667,131.9,0.072,0.005,0.27,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,36,1,3,-2,1,2,170.9,524.81,170.9,541.7,170.9,180.5666666666667,0.024,0.028,0.333,0.304
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,35,12,1,11,3,3,1941.51,131.9,1971.8,131.9,164.3166666666667,131.9,0.072,0.005,0.27,0.251
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,35,2,4,-2,1,2,317.8,667.71,317.8,684.6,158.9,171.15,0.044,0.037,0.339,0.296
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,34,2,4,-2,1,2,317.8,667.71,317.8,684.6,158.9,171.15,0.044,0.037,0.339,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,34,8,3,5,3,3,1306.2,435.7,1320.2,435.7,165.025,145.23333333333332,0.049,0.018,0.269,0.252
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,33,2,4,-2,1,2,317.8,667.71,317.8,684.6,158.9,171.15,0.044,0.037,0.339,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,33,11,4,7,3,3,1766.9,567.6,1780.9,567.6,161.9,141.9,0.064,0.023,0.275,0.252
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,32,12,4,8,3,3,1930.8,567.6,1944.8,567.6,162.0666666666667,141.9,0.07,0.023,0.277,0.252
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,32,2,4,-2,1,2,317.8,667.71,317.8,684.6,158.9,171.15,0.044,0.037,0.339,0.296
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,31,3,4,-1,1,2,457.7,667.71,457.7,684.6,152.5666666666667,171.15,0.064,0.037,0.336,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,31,18,4,14,3,3,2822.34,567.6,2904.2,567.6,161.34444444444443,141.9,0.101,0.023,0.285,0.252
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,30,3,4,-1,1,2,457.7,667.71,457.7,684.6,152.5666666666667,171.15,0.064,0.037,0.336,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,30,19,4,15,3,3,2979.24,567.6,3061.1,567.6,161.11052631578946,141.9,0.106,0.023,0.285,0.252
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,29,12,4,8,2,2,1688.8,667.71,1773.8,684.6,147.8166666666667,171.15,0.104,0.037,0.271,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,29,27,6,21,3,3,4076.57,935.4,4198.3,935.4,155.4925925925926,155.9,0.149,0.033,0.279,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,28,31,6,25,3,3,4676.17,935.4,4797.9,935.4,154.7709677419355,155.9,0.177,0.033,0.269,0.296
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,28,12,4,8,2,2,1697.8,667.71,1782.8,684.6,148.5666666666667,171.15,0.104,0.037,0.272,0.296
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,27,33,8,25,3,3,5020.97,1211.2,5142.7,1211.2,155.83939393939394,151.4,0.187,0.043,0.273,0.287
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,27,15,6,9,2,2,2167.5,917.51,2252.5,934.4,150.16666666666666,155.73333333333335,0.126,0.058,0.283,0.257
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,26,39,10,29,3,3,6025.37,1497.0,6147.1,1497.0,157.61794871794874,149.7,0.217,0.057,0.281,0.271
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,26,18,6,12,2,2,2613.2,917.51,2698.2,934.4,149.9,155.73333333333335,0.155,0.058,0.274,0.257
2026-06-03,2026-04-01,SAO-ARB,ARB-SAO,25,41,11,30,3,3,6343.17,1677.9,6464.9,1677.9,157.68048780487803,152.53636363636363,0.227,0.062,0.282,0.279
2026-06-03,2026-04-01,ARB-SAO,ARB-SAO,25,21,6,15,2,2,3058.9,917.51,3126.9,934.4,148.9,155.73333333333335,0.179,0.058,0.275,0.257
