output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,BHZ-GYN,semi leito,NOITE,133.84,142.82,1.061319760479042,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,GYN-BHZ,leito individual,NOITE,167.33,,1.118951460976549,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,GYN-BHZ,semi leito,NOITE,167.33,132.2,1.118951460976549,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-GYN,GYN-BHZ,leito,NOITE,167.33,,1.118951460976549,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-IPA,BHZ-IPA,semi leito,NOITE,61.9,91.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-IPA,IPA-BHZ,semi leito,NOITE,55.9,87.9,1.031859375,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCE,BHZ-MCE,semi leito,NOITE,,235.9,1.28692391304348,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCE,MCE-BHZ,semi leito,NOITE,138.9,200.9,1.0939220779220782,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,semi leito,NOITE,104.17,113.9,1.0816998647836544,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,leito individual,NOITE,104.17,,1.0816998647836544,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,leito,NOITE,104.17,,1.0816998647836544,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,leito,NOITE,112.79,,1.016701834862385,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,semi leito,NOITE,112.79,107.9,1.016701834862385,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,leito individual,NOITE,112.79,,1.016701834862385,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,BHZ-RAO,leito,NOITE,161.23,,1.1348739166666675,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,BHZ-RAO,semi leito,NOITE,161.23,171.86,1.1348739166666675,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,BHZ-RAO,leito individual,NOITE,161.23,,1.1348739166666675,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,RAO-BHZ,leito,NOITE,134.65,,1.222266787190082,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,RAO-BHZ,leito individual,NOITE,134.65,,1.222266787190082,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RAO,RAO-BHZ,semi leito,NOITE,134.65,194.9,1.222266787190082,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito cama,NOITE,185.23,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,semi leito,NOITE,90.37,111.06,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito cama individual,NOITE,185.23,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito,NOITE,130.31,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito individual,NOITE,121.64,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito,NOITE,124.33,,1.0997073429951685,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito individual,NOITE,121.9,,1.0997073429951685,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito cama,NOITE,237.9,,1.0997073429951685,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito cama individual,NOITE,237.9,,1.0997073429951685,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,semi leito,NOITE,101.54,115.9,1.0997073429951685,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,BHZ-SAO,leito cama,NOITE,181.9,,1.0,
