data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,39,1,2,101.9,101.9,10,2,1434.0,1434.0,101.9,0.011,0.177,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,38,1,2,101.9,101.9,10,2,1434.0,1434.0,101.9,0.011,0.177,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,38,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,37,3,2,344.7,344.7,6,2,646.62,668.4,114.89999999999999,0.03,0.195,107.77,0.059
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,37,1,2,101.9,101.9,10,2,1434.0,1434.0,101.9,0.011,0.177,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,36,4,2,481.6,481.6,6,2,646.62,668.4,120.4,0.04,0.204,107.77,0.059
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,36,0,2,0.0,0.0,10,2,1434.0,1434.0,,0.0,,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,35,0,2,0.0,0.0,10,2,1434.0,1434.0,,0.0,,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,35,4,2,481.6,481.6,6,2,646.62,668.4,120.4,0.04,0.204,107.77,0.059
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,34,1,2,128.9,128.9,10,2,1434.0,1434.0,128.9,0.011,0.212,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,34,4,2,502.6,502.6,8,2,806.42,828.2,125.65,0.04,0.213,100.80250000000001,0.076
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,33,4,2,502.6,502.6,8,2,806.42,828.2,125.65,0.04,0.213,100.80250000000001,0.076
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,33,1,2,128.9,128.9,10,2,1434.0,1434.0,128.9,0.011,0.212,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,32,1,2,128.9,128.9,10,2,1434.0,1434.0,128.9,0.011,0.212,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,32,4,2,502.6,502.6,8,2,806.42,828.2,125.65,0.04,0.213,100.80250000000001,0.076
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,31,1,2,128.9,128.9,10,2,1434.0,1434.0,128.9,0.011,0.212,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,31,4,2,502.6,502.6,9,2,965.32,987.1,125.65,0.04,0.213,107.25777777777779,0.086
