data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
2026-07-29,2025-07-30,07. RPK,163335.0,142692.0
2026-07-29,2025-07-30,08. Load Factor,0.04078489988616135,0.022813250525277762
2026-07-29,2025-07-30,09. Ticket Médio,114.23534050179211,122.1681640625
2026-07-29,2025-07-30,10. GMV,32872.1,31762.399999999998
2026-07-30,2025-07-31,01. RASK,0.007029513938654112,0.0070827038731347495
2026-07-30,2025-07-31,02. Yield,0.18165522052784186,0.20548611035823602
2026-07-30,2025-07-31,03. Buscas,2041.0,1799.0
2026-07-30,2025-07-31,04. Grupos Realizados,217.0,362.0
2026-07-30,2025-07-31,05. Pax Total,366.0,495.0
2026-07-30,2025-07-31,06. ASK,5477107.0,8371591.0
2026-07-30,2025-07-31,07. RPK,202106.0,276717.0
2026-07-30,2025-07-31,08. Load Factor,0.03690013724398665,0.03305429039713001
2026-07-30,2025-07-31,09. Ticket Médio,100.31040983606559,114.87171717171717
2026-07-30,2025-07-31,10. GMV,38501.40000000001,59293.5
2026-07-31,2025-08-01,01. RASK,0.006386750625283671,0.0080548310789681
2026-07-31,2025-08-01,02. Yield,0.17923943363581793,0.20628332860488532
2026-07-31,2025-08-01,03. Buscas,3690.0,2704.0
2026-07-31,2025-08-01,04. Grupos Realizados,265.0,423.0
2026-07-31,2025-08-01,05. Pax Total,425.0,671.0
2026-07-31,2025-08-01,06. ASK,6627392.0,9497278.0
2026-07-31,2025-08-01,07. RPK,226568.0,359526.0
2026-07-31,2025-08-01,08. Load Factor,0.03418660009850028,0.03785568875629417
2026-07-31,2025-08-01,09. Ticket Médio,95.55275294117646,110.52789865871833
2026-07-31,2025-08-01,10. GMV,42327.5,76498.96999999999
2026-08-01,2025-08-02,01. RASK,0.006158748969033033,0.006215928461758554
2026-08-01,2025-08-02,02. Yield,0.17132364707593828,0.20443844969254457
2026-08-01,2025-08-02,03. Buscas,1665.0,1513.0
2026-08-01,2025-08-02,04. Grupos Realizados,133.0,303.0
2026-08-01,2025-08-02,05. Pax Total,201.0,364.0
2026-08-01,2025-08-02,06. ASK,3108732.0,6203675.0
