regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,geral,2026-07-26,2025-07-27,07. Load Factor,0.06738386927300166,0.08023036944903121
Reg. MG,geral,2026-07-26,2025-07-27,08. Ticket Médio,147.6988577586207,157.04448226950353
Reg. MG,geral,2026-07-26,2025-07-27,09. GMV,69694.6,112319.5
Reg. MG,geral,2026-07-27,2025-07-28,01. RASK,0.010959483105239334,0.014515521770026038
Reg. MG,geral,2026-07-27,2025-07-28,02. Yield,0.22451679828670856,0.2317702020583657
Reg. MG,geral,2026-07-27,2025-07-28,03. Grupos Realizados,127.0,163.0
Reg. MG,geral,2026-07-27,2025-07-28,04. Pax Total,295.0,444.0
Reg. MG,geral,2026-07-27,2025-07-28,05. ASK,3399841.0,4268231.0
Reg. MG,geral,2026-07-27,2025-07-28,06. RPK,164362.0,264676.0
Reg. MG,geral,2026-07-27,2025-07-28,07. Load Factor,0.04834402550001603,0.06201070185751427
Reg. MG,geral,2026-07-27,2025-07-28,08. Ticket Médio,125.09162711864407,138.1621846846847
Reg. MG,geral,2026-07-27,2025-07-28,09. GMV,37260.5,61955.59999999999
Reg. MG,geral,2026-07-28,2025-07-29,01. RASK,0.010124029920808618,0.008067092018390674
Reg. MG,geral,2026-07-28,2025-07-29,02. Yield,0.21416357801238348,0.20043183026436617
Reg. MG,geral,2026-07-28,2025-07-29,03. Grupos Realizados,68.0,119.0
Reg. MG,geral,2026-07-28,2025-07-29,04. Pax Total,159.0,210.0
Reg. MG,geral,2026-07-28,2025-07-29,05. ASK,1968396.0,3152685.0
Reg. MG,geral,2026-07-28,2025-07-29,06. RPK,92543.0,124146.0
Reg. MG,geral,2026-07-28,2025-07-29,07. Load Factor,0.04701442189478133,0.03937786363052446
Reg. MG,geral,2026-07-28,2025-07-29,08. Ticket Médio,124.64993710691824,118.48957142857144
Reg. MG,geral,2026-07-28,2025-07-29,09. GMV,19928.1,25432.999999999996
Reg. MG,geral,2026-07-29,2025-07-30,01. RASK,0.012022788426966411,0.007462619875061833
Reg. MG,geral,2026-07-29,2025-07-30,02. Yield,0.20783666118985955,0.22598388362114888
Reg. MG,geral,2026-07-29,2025-07-30,03. Grupos Realizados,65.0,118.0
Reg. MG,geral,2026-07-29,2025-07-30,04. Pax Total,177.0,186.0
Reg. MG,geral,2026-07-29,2025-07-30,05. ASK,1885694.0,3177892.0
Reg. MG,geral,2026-07-29,2025-07-30,06. RPK,107727.0,103249.0
Reg. MG,geral,2026-07-29,2025-07-30,07. Load Factor,0.05712856911036467,0.03248977624160922
Reg. MG,geral,2026-07-29,2025-07-30,08. Ticket Médio,126.49502824858759,125.44413978494624
Reg. MG,geral,2026-07-29,2025-07-30,09. GMV,22671.3,23715.4
Reg. MG,geral,2026-07-30,2025-07-31,01. RASK,0.009611640063088879,0.00990458761156352
Reg. MG,geral,2026-07-30,2025-07-31,02. Yield,0.19736756448283393,0.21289035550505256
Reg. MG,geral,2026-07-30,2025-07-31,03. Grupos Realizados,113.0,164.0
Reg. MG,geral,2026-07-30,2025-07-31,04. Pax Total,260.0,336.0
Reg. MG,geral,2026-07-30,2025-07-31,05. ASK,3027475.0,4349540.0
Reg. MG,geral,2026-07-30,2025-07-31,06. RPK,141937.0,197128.0
Reg. MG,geral,2026-07-30,2025-07-31,07. Load Factor,0.04688296352571037,0.04532157423543639
Reg. MG,geral,2026-07-30,2025-07-31,08. Ticket Médio,107.74523076923077,124.90074404761903
Reg. MG,geral,2026-07-30,2025-07-31,09. GMV,29099.0,43080.399999999994
Reg. MG,geral,2026-07-31,2025-08-01,01. RASK,0.008495477319655453,0.010457938474318055
Reg. MG,geral,2026-07-31,2025-08-01,02. Yield,0.1822967503180294,0.213073445134958
Reg. MG,geral,2026-07-31,2025-08-01,03. Grupos Realizados,126.0,183.0
Reg. MG,geral,2026-07-31,2025-08-01,04. Pax Total,277.0,397.0
Reg. MG,geral,2026-07-31,2025-08-01,05. ASK,3465644.0,4728692.0
Reg. MG,geral,2026-07-31,2025-08-01,06. RPK,155646.0,227367.0
Reg. MG,geral,2026-07-31,2025-08-01,07. Load Factor,0.04491113339973754,0.04808242955980216
Reg. MG,geral,2026-07-31,2025-08-01,08. Ticket Médio,102.43234657039712,122.02989924433248
Reg. MG,geral,2026-07-31,2025-08-01,09. GMV,29442.3,49452.369999999995
Reg. MG,geral,2026-08-01,2025-08-02,01. RASK,0.005962317309385455,0.009430768641883037
Reg. MG,geral,2026-08-01,2025-08-02,02. Yield,0.18359331476323118,0.20641091464745687
Reg. MG,geral,2026-08-01,2025-08-02,03. Grupos Realizados,46.0,107.0
Reg. MG,geral,2026-08-01,2025-08-02,04. Pax Total,71.0,202.0
Reg. MG,geral,2026-08-01,2025-08-02,05. ASK,1220985.0,2534119.0
Reg. MG,geral,2026-08-01,2025-08-02,06. RPK,39131.0,114525.0
Reg. MG,geral,2026-08-01,2025-08-02,07. Load Factor,0.03204871476717568,0.04519322099711971
Reg. MG,geral,2026-08-01,2025-08-02,08. Ticket Médio,101.18577464788731,117.02579207920792
Reg. MG,geral,2026-08-01,2025-08-02,09. GMV,7279.9,23898.690000000002
Reg. MG,geral,2026-08-02,2025-08-03,01. RASK,0.011133797470399148,0.009188171671242857
Reg. MG,geral,2026-08-02,2025-08-03,02. Yield,0.23145597874878557,0.24777306456592077
Reg. MG,geral,2026-08-02,2025-08-03,03. Grupos Realizados,126.0,194.0
Reg. MG,geral,2026-08-02,2025-08-03,04. Pax Total,287.0,319.0
Reg. MG,geral,2026-08-02,2025-08-03,05. ASK,3404885.0,4743392.0
Reg. MG,geral,2026-08-02,2025-08-03,06. RPK,162626.0,174922.0
Reg. MG,geral,2026-08-02,2025-08-03,07. Load Factor,0.047762552920289525,0.03687698592062389
Reg. MG,geral,2026-08-02,2025-08-03,08. Ticket Médio,131.15247386759583,135.86507836990594
Reg. MG,geral,2026-08-02,2025-08-03,09. GMV,37909.3,43583.09999999999
Reg. MG,extra,2026-07-17,2025-07-18,01. RASK,,0.0
Reg. MG,extra,2026-07-17,2025-07-18,02. Yield,,
Reg. MG,extra,2026-07-17,2025-07-18,03. Grupos Realizados,,1.0
Reg. MG,extra,2026-07-17,2025-07-18,04. Pax Total,,0.0
Reg. MG,extra,2026-07-17,2025-07-18,05. ASK,,20654.0
Reg. MG,extra,2026-07-17,2025-07-18,06. RPK,,0.0
Reg. MG,extra,2026-07-17,2025-07-18,07. Load Factor,,0.0
Reg. MG,extra,2026-07-17,2025-07-18,08. Ticket Médio,,
Reg. MG,extra,2026-07-17,2025-07-18,09. GMV,,0.0
Reg. MG,extra,2026-07-19,2025-07-20,01. RASK,,0.0
Reg. MG,extra,2026-07-19,2025-07-20,02. Yield,,
Reg. MG,extra,2026-07-19,2025-07-20,03. Grupos Realizados,,1.0
Reg. MG,extra,2026-07-19,2025-07-20,04. Pax Total,,0.0
Reg. MG,extra,2026-07-19,2025-07-20,05. ASK,,20378.0
Reg. MG,extra,2026-07-19,2025-07-20,06. RPK,,0.0
