regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,07. Load Factor,0.30567456881954563,0.29195024814003184,0.23500058605691404,0.28682990352245646
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,08. Ticket Médio,126.72003359462488,138.05552147239263,138.2890870185449,147.30022892819977
Reg. MG,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,09. GMV,115984.70000000001,116302.68000000001,100580.28,145191.9
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.16652961639803643,0.17698688266904697,0.15443067668035032,0.1829407903241054
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.3089072832880632,0.40188714650870283,0.3702768087998912,0.3819341371458127
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,171.0,143.0,143.0,165.0
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,4513.0,3102.0,2911.0,3865.0
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,4308711.0,3693663.0,3647409.0,4146552.0
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,2281854.0,1577408.0,1484382.0,1944981.0
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.5295908683594699,0.4270579097226791,0.40696889216427334,0.46905983573822296
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,156.1890804343009,204.36492585428755,188.81217107523187,192.20042432082795
Reg. MG,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,717527.9899999999,653729.8999999998,563271.84,758573.5000000001
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,0.0450169420764255,0.0723010681034299,0.0635183829335171,0.061221501170377245
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,0.2198438653507207,0.2582865330689919,0.2480966968599181,0.2493230315157124
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,141.0,127.0,127.0,141.0
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,1421.0,1733.0,1565.0,1666.0
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,3650379.0,3379448.0,3273879.0,3659931.0
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,734174.0,925066.0,824246.0,881592.0
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,0.2011226779465913,0.27373286998350027,0.25176434437558626,0.24087667226513287
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,113.58455313159749,137.87195037507217,130.66626837060704,131.93348739495792
Reg. MG,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,164328.90000000002,244337.69999999995,207951.5,224066.46999999994
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,01. RASK,0.06247975208239466,0.1124579398351313,0.09728390705826784,0.0835696733753253
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,02. Yield,0.20794001269368367,0.2793394862426332,0.25756895275952324,0.24196034821067425
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,03. Grupos Realizados,127.0,136.0,116.0,121.0
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,04. Pax Total,1786.0,2392.0,2017.0,1735.0
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,05. ASK,3020681.0,2927057.0,2635845.0,2618755.0
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,06. RPK,880753.0,1136373.0,955473.0,862811.0
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,07. Load Factor,0.29157431718211885,0.3882305674265995,0.36249210405012433,0.32947373847496236
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,08. Ticket Médio,102.54411534154538,132.7064590301003,122.01297967278134,120.32625360230548
Reg. SP,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,09. GMV,188731.39999999997,329170.79999999993,256425.3,218848.5
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.13441611207068263,0.15271892456713,0.16230651723520897,0.16831790935968577
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.2846287616878833,0.34561890115106775,0.33218618782709536,0.3323634434046608
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,247.0,187.0,208.0,208.0
